GAME_ID,Season ID,Home Team Name,Away Team Name,Home Points,Away Points,Home Win,Match,Date
0021800064,22018,Orlando Magic,Portland Trail Blazers,114,128,L,ORL vs. POR,2018-10-25
0021800065,22018,Oklahoma City Thunder,Boston Celtics,95,101,L,OKC vs. BOS,2018-10-25
0021800066,22018,Los Angeles Lakers,Denver Nuggets,121,114,L,DEN @ LAL,2018-10-25
0021800067,22018,Charlotte Hornets,Chicago Bulls,135,106,L,CHI @ CHA,2018-10-26
0021800068,22018,New York Knicks,Golden State Warriors,100,128,W,GSW @ NYK,2018-10-26
0021800069,22018,Toronto Raptors,Dallas Mavericks,116,107,L,DAL @ TOR,2018-10-26
0021800070,22018,Houston Rockets,Los Angeles Clippers,113,133,L,HOU vs. LAC,2018-10-26
0021800071,22018,Minnesota Timberwolves,Milwaukee Bucks,95,125,L,MIN vs. MIL,2018-10-26
0021800072,22018,New Orleans Pelicans,Brooklyn Nets,117,115,L,BKN @ NOP,2018-10-26
0021800073,22018,Sacramento Kings,Washington Wizards,116,112,W,SAC vs. WAS,2018-10-26
0021800074,22018,Detroit Pistons,Boston Celtics,89,109,W,BOS @ DET,2018-10-27
0021800075,22018,New Orleans Pelicans,Utah Jazz,111,132,W,UTA @ NOP,2018-10-27
0021800076,22018,Atlanta Hawks,Chicago Bulls,85,97,W,CHI @ ATL,2018-10-27
0021800077,22018,Cleveland Cavaliers,Indiana Pacers,107,119,W,IND @ CLE,2018-10-27
0021800078,22018,Philadelphia 76ers,Charlotte Hornets,105,103,L,CHA @ PHI,2018-10-27
0021800079,22018,Miami Heat,Portland Trail Blazers,120,111,W,MIA vs. POR,2018-10-27
0021800080,22018,Memphis Grizzlies,Phoenix Suns,117,96,L,PHX @ MEM,2018-10-27
0021800081,22018,Milwaukee Bucks,Orlando Magic,113,91,L,ORL @ MIL,2018-10-27
0021800082,22018,San Antonio Spurs,Los Angeles Lakers,110,106,L,LAL @ SAS,2018-10-27
0021800083,22018,Brooklyn Nets,Golden State Warriors,114,120,L,BKN vs. GSW,2018-10-28
0021800084,22018,Dallas Mavericks,Utah Jazz,104,113,W,UTA @ DAL,2018-10-28
0021800085,22018,Oklahoma City Thunder,Phoenix Suns,117,110,W,OKC vs. PHX,2018-10-28
0021800086,22018,Los Angeles Clippers,Washington Wizards,136,104,L,WAS @ LAC,2018-10-28
0021800087,22018,Indiana Pacers,Portland Trail Blazers,93,103,W,POR @ IND,2018-10-29
0021800088,22018,Philadelphia 76ers,Atlanta Hawks,113,92,L,ATL @ PHI,2018-10-29
0021800089,22018,Miami Heat,Sacramento Kings,113,123,L,MIA vs. SAC,2018-10-29
0021800090,22018,New York Knicks,Brooklyn Nets,115,96,L,BKN @ NYK,2018-10-29
0021800091,22018,Chicago Bulls,Golden State Warriors,124,149,W,GSW @ CHI,2018-10-29
0021800092,22018,Milwaukee Bucks,Toronto Raptors,124,109,W,MIL vs. TOR,2018-10-29
0021800093,22018,Minnesota Timberwolves,Los Angeles Lakers,124,120,W,MIN vs. LAL,2018-10-29
0021800094,22018,San Antonio Spurs,Dallas Mavericks,113,108,W,SAS vs. DAL,2018-10-29
0021800095,22018,Denver Nuggets,New Orleans Pelicans,116,111,W,DEN vs. NOP,2018-10-29
0021800096,22018,Charlotte Hornets,Miami Heat,125,113,W,CHA vs. MIA,2018-10-30
0021800097,22018,Cleveland Cavaliers,Atlanta Hawks,136,114,L,ATL @ CLE,2018-10-30
0021800098,22018,Orlando Magic,Sacramento Kings,99,107,W,SAC @ ORL,2018-10-30
0021800099,22018,Boston Celtics,Detroit Pistons,108,105,W,BOS vs. DET,2018-10-30
0021800100,22018,Toronto Raptors,Philadelphia 76ers,129,112,L,PHI @ TOR,2018-10-30
0021800101,22018,Houston Rockets,Portland Trail Blazers,85,104,L,HOU vs. POR,2018-10-30
0021800102,22018,Memphis Grizzlies,Washington Wizards,107,95,W,MEM vs. WAS,2018-10-30
0021800103,22018,Oklahoma City Thunder,Los Angeles Clippers,128,110,L,LAC @ OKC,2018-10-30
0021800104,22018,Brooklyn Nets,Detroit Pistons,120,119,L,DET @ BKN,2018-10-31
0021800105,22018,New York Knicks,Indiana Pacers,101,107,L,NYK vs. IND,2018-10-31
0021800106,22018,Chicago Bulls,Denver Nuggets,107,108,W,DEN @ CHI,2018-10-31
0021800107,22018,Minnesota Timberwolves,Utah Jazz,128,125,L,UTA @ MIN,2018-10-31
0021800108,22018,Golden State Warriors,New Orleans Pelicans,131,121,W,GSW vs. NOP,2018-10-31
0021800109,22018,Los Angeles Lakers,Dallas Mavericks,114,113,L,DAL @ LAL,2018-10-31
0021800110,22018,Phoenix Suns,San Antonio Spurs,90,120,L,PHX vs. SAS,2018-10-31
0021800111,22018,Charlotte Hornets,Oklahoma City Thunder,107,111,L,CHA vs. OKC,2018-11-01
0021800112,22018,Cleveland Cavaliers,Denver Nuggets,91,110,W,DEN @ CLE,2018-11-01
0021800113,22018,Philadelphia 76ers,Los Angeles Clippers,122,113,L,LAC @ PHI,2018-11-01
0021800114,22018,Atlanta Hawks,Sacramento Kings,115,146,L,ATL vs. SAC,2018-11-01
0021800115,22018,Boston Celtics,Milwaukee Bucks,117,113,W,BOS vs. MIL,2018-11-01
0021800116,22018,Portland Trail Blazers,New Orleans Pelicans,132,119,W,POR vs. NOP,2018-11-01
0021800117,22018,Orlando Magic,Los Angeles Clippers,95,120,W,LAC @ ORL,2018-11-02
0021800118,22018,Brooklyn Nets,Houston Rockets,111,119,L,BKN vs. HOU,2018-11-02
0021800119,22018,Washington Wizards,Oklahoma City Thunder,111,134,W,OKC @ WAS,2018-11-02
0021800120,22018,Chicago Bulls,Indiana Pacers,105,107,W,IND @ CHI,2018-11-02
0021800121,22018,Dallas Mavericks,New York Knicks,106,118,L,DAL vs. NYK,2018-11-02
0021800122,22018,Utah Jazz,Memphis Grizzlies,100,110,W,MEM @ UTA,2018-11-02
0021800123,22018,Phoenix Suns,Toronto Raptors,98,107,W,TOR @ PHX,2018-11-02
0021800124,22018,Golden State Warriors,Minnesota Timberwolves,116,99,L,MIN @ GSW,2018-11-02
0021800125,22018,Philadelphia 76ers,Detroit Pistons,109,99,W,PHI vs. DET,2018-11-03
0021800126,22018,Charlotte Hornets,Cleveland Cavaliers,126,94,W,CHA vs. CLE,2018-11-03
0021800127,22018,Indiana Pacers,Boston Celtics,102,101,L,BOS @ IND,2018-11-03
0021800128,22018,Atlanta Hawks,Miami Heat,123,118,L,MIA @ ATL,2018-11-03
0021800129,22018,Chicago Bulls,Houston Rockets,88,96,L,CHI vs. HOU,2018-11-03
