,Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
0,Milwaukee Bucks,44,14,.759,,116.6,107.0,8.99
1,Toronto Raptors,43,16,.729,1.5,114.3,108.7,5.35
2,Indiana Pacers,38,20,.655,6.0,108.1,102.9,4.01
3,Philadelphia 76ers,38,21,.644,6.5,115.7,112.0,3.21
4,Boston Celtics,37,22,.627,7.5,112.7,106.4,5.49
5,Brooklyn Nets,30,30,.500,15.0,112.1,112.7,-1.37
6,Charlotte Hornets,27,30,.474,16.5,110.8,111.3,-1.38
7,Detroit Pistons,26,30,.464,17.0,106.6,108.1,-1.47
8,Orlando Magic,27,32,.458,17.5,105.8,106.9,-1.03
9,Miami Heat,26,31,.456,17.5,105.0,105.7,-1.20
10,Washington Wizards,24,34,.414,20.0,113.9,116.9,-3.40
11,Atlanta Hawks,19,39,.328,25.0,110.6,118.2,-7.77
12,Chicago Bulls,14,44,.241,30.0,103.2,111.6,-8.23
13,Cleveland Cavaliers,13,46,.220,31.5,103.1,113.2,-10.10
14,New York Knicks,11,47,.190,33.0,105.3,114.0,-8.09
