GAME_ID,Season ID,Home Team ABB,Away Team ABB,Home Team Name,Away Team Name,Home ID,Away ID,Home Points,Away Points,Home Win,Match,Date,Home Won Previous Match,Away Won Previous Match,Home Win Streak,Away Win Streak,Home Team Higher Rank,Home Team Won Last
0021800039,22018,LAC,HOU,Los Angeles Clippers,Houston Rockets,1610612746,1610612745,115,112,1,LAC vs. HOU,2018-10-21,True,True,1,1,0,0
0021800040,22018,ORL,BOS,Boston Celtics,Orlando Magic,1610612753,1610612738,90,93,1,ORL @ BOS,2018-10-22,True,False,1,0,1,0
0021800041,22018,CHA,TOR,Toronto Raptors,Charlotte Hornets,1610612766,1610612761,127,106,1,CHA @ TOR,2018-10-22,True,True,3,2,1,0
0021800042,22018,NYK,MIL,Milwaukee Bucks,New York Knicks,1610612752,1610612749,124,113,1,NYK @ MIL,2018-10-22,True,False,2,0,1,0
0021800043,22018,IND,MIN,Minnesota Timberwolves,Indiana Pacers,1610612754,1610612750,101,91,0,IND @ MIN,2018-10-22,False,True,0,1,0,0
0021800044,22018,CHI,DAL,Dallas Mavericks,Chicago Bulls,1610612741,1610612742,115,109,1,CHI @ DAL,2018-10-22,True,False,1,0,0,0
0021800045,22018,UTA,MEM,Utah Jazz,Memphis Grizzlies,1610612762,1610612763,84,92,1,UTA vs. MEM,2018-10-22,False,True,0,1,1,0
0021800046,22018,POR,WAS,Portland Trail Blazers,Washington Wizards,1610612757,1610612764,124,125,1,POR vs. WAS,2018-10-22,True,False,2,0,1,0
0021800047,22018,GSW,PHX,Golden State Warriors,Phoenix Suns,1610612744,1610612756,123,103,1,GSW vs. PHX,2018-10-22,False,False,0,0,1,0
0021800048,22018,SAS,LAL,Los Angeles Lakers,San Antonio Spurs,1610612759,1610612747,142,143,0,SAS @ LAL,2018-10-22,False,False,0,0,0,0
0021800049,22018,PHI,DET,Detroit Pistons,Philadelphia 76ers,1610612755,1610612765,133,132,1,PHI @ DET,2018-10-23,True,True,2,2,0,0
0021800050,22018,LAC,NOP,New Orleans Pelicans,Los Angeles Clippers,1610612746,1610612740,116,109,1,LAC @ NOP,2018-10-23,True,True,2,2,1,0
0021800051,22018,DEN,SAC,Denver Nuggets,Sacramento Kings,1610612743,1610612758,126,112,1,DEN vs. SAC,2018-10-23,True,True,3,1,1,0
0021800052,22018,ATL,DAL,Atlanta Hawks,Dallas Mavericks,1610612737,1610612742,111,104,1,ATL vs. DAL,2018-10-24,True,True,1,2,1,0
0021800053,22018,BKN,CLE,Cleveland Cavaliers,Brooklyn Nets,1610612751,1610612739,86,102,1,BKN @ CLE,2018-10-24,False,False,0,0,1,0
0021800054,22018,MIA,NYK,Miami Heat,New York Knicks,1610612748,1610612752,110,87,1,MIA vs. NYK,2018-10-24,False,False,0,0,1,0
0021800055,22018,MIN,TOR,Toronto Raptors,Minnesota Timberwolves,1610612750,1610612761,112,105,1,MIN @ TOR,2018-10-24,True,True,4,1,1,0
0021800056,22018,CHI,CHA,Chicago Bulls,Charlotte Hornets,1610612741,1610612766,112,110,1,CHI vs. CHA,2018-10-24,False,False,0,0,0,0
0021800057,22018,HOU,UTA,Houston Rockets,Utah Jazz,1610612745,1610612762,89,100,1,HOU vs. UTA,2018-10-24,False,False,0,0,1,0
0021800058,22018,SAS,IND,San Antonio Spurs,Indiana Pacers,1610612759,1610612754,96,116,1,SAS vs. IND,2018-10-24,True,False,1,0,0,0
0021800059,22018,PHI,MIL,Milwaukee Bucks,Philadelphia 76ers,1610612755,1610612749,123,108,1,PHI @ MIL,2018-10-24,True,False,3,0,0,0
0021800060,22018,LAL,PHX,Phoenix Suns,Los Angeles Lakers,1610612747,1610612756,113,131,1,LAL @ PHX,2018-10-24,False,False,0,0,0,0
0021800061,22018,SAC,MEM,Sacramento Kings,Memphis Grizzlies,1610612758,1610612763,97,92,1,SAC vs. MEM,2018-10-24,False,True,0,2,1,0
0021800062,22018,GSW,WAS,Golden State Warriors,Washington Wizards,1610612744,1610612764,144,122,1,GSW vs. WAS,2018-10-24,True,True,1,1,1,0
0021800063,22018,DET,CLE,Detroit Pistons,Cleveland Cavaliers,1610612765,1610612739,110,103,1,DET vs. CLE,2018-10-25,True,False,3,0,0,0
0021800064,22018,ORL,POR,Orlando Magic,Portland Trail Blazers,1610612753,1610612757,114,128,0,ORL vs. POR,2018-10-25,True,False,1,0,0,0
0021800065,22018,OKC,BOS,Oklahoma City Thunder,Boston Celtics,1610612760,1610612738,95,101,1,OKC vs. BOS,2018-10-25,False,False,0,0,0,0
0021800066,22018,DEN,LAL,Los Angeles Lakers,Denver Nuggets,1610612743,1610612747,121,114,0,DEN @ LAL,2018-10-25,True,True,1,4,0,0
0021800067,22018,CHA,CHI,Charlotte Hornets,Chicago Bulls,1610612766,1610612741,135,106,1,CHA vs. CHI,2018-10-26,False,True,0,1,1,1
0021800068,22018,NYK,GSW,New York Knicks,Golden State Warriors,1610612752,1610612744,100,128,0,NYK vs. GSW,2018-10-26,False,True,0,2,0,0
0021800069,22018,DAL,TOR,Toronto Raptors,Dallas Mavericks,1610612742,1610612761,116,107,1,DAL @ TOR,2018-10-26,True,False,5,0,1,0
0021800070,22018,LAC,HOU,Houston Rockets,Los Angeles Clippers,1610612746,1610612745,113,133,1,LAC @ HOU,2018-10-26,False,False,0,0,1,0
0021800071,22018,MIL,MIN,Minnesota Timberwolves,Milwaukee Bucks,1610612749,1610612750,95,125,0,MIL @ MIN,2018-10-26,False,True,0,4,1,0
0021800072,22018,BKN,NOP,New Orleans Pelicans,Brooklyn Nets,1610612751,1610612740,117,115,1,BKN @ NOP,2018-10-26,True,True,3,1,1,0
0021800073,22018,SAC,WAS,Sacramento Kings,Washington Wizards,1610612758,1610612764,116,112,0,SAC vs. WAS,2018-10-26,True,False,1,0,0,0
0021800074,22018,BOS,DET,Detroit Pistons,Boston Celtics,1610612738,1610612765,89,109,0,BOS @ DET,2018-10-27,True,True,4,1,0,0
0021800075,22018,NOP,UTA,New Orleans Pelicans,Utah Jazz,1610612740,1610612762,111,132,1,NOP vs. UTA,2018-10-27,True,True,4,1,1,0
0021800076,22018,CHI,ATL,Atlanta Hawks,Chicago Bulls,1610612741,1610612737,85,97,1,CHI @ ATL,2018-10-27,True,False,2,0,0,0
0021800077,22018,IND,CLE,Cleveland Cavaliers,Indiana Pacers,1610612754,1610612739,107,119,1,IND @ CLE,2018-10-27,False,True,0,1,1,0
0021800078,22018,CHA,PHI,Philadelphia 76ers,Charlotte Hornets,1610612766,1610612755,105,103,1,CHA @ PHI,2018-10-27,False,True,0,1,1,0
0021800079,22018,POR,MIA,Miami Heat,Portland Trail Blazers,1610612757,1610612748,120,111,1,POR @ MIA,2018-10-27,True,True,1,1,0,0
0021800080,22018,MEM,PHX,Memphis Grizzlies,Phoenix Suns,1610612763,1610612756,117,96,1,MEM vs. PHX,2018-10-27,False,False,0,0,1,0
0021800081,22018,MIL,ORL,Milwaukee Bucks,Orlando Magic,1610612749,1610612753,113,91,1,MIL vs. ORL,2018-10-27,True,False,5,0,1,0
0021800082,22018,SAS,LAL,San Antonio Spurs,Los Angeles Lakers,1610612759,1610612747,110,106,1,SAS vs. LAL,2018-10-27,False,True,0,2,1,1
0021800083,22018,BKN,GSW,Brooklyn Nets,Golden State Warriors,1610612751,1610612744,114,120,0,BKN vs. GSW,2018-10-28,False,True,0,3,0,0
0021800084,22018,DAL,UTA,Dallas Mavericks,Utah Jazz,1610612742,1610612762,104,113,0,DAL vs. UTA,2018-10-28,False,True,0,2,0,0
0021800085,22018,PHX,OKC,Oklahoma City Thunder,Phoenix Suns,1610612756,1610612760,117,110,1,PHX @ OKC,2018-10-28,False,False,0,0,1,0
0021800086,22018,LAC,WAS,Los Angeles Clippers,Washington Wizards,1610612746,1610612764,136,104,1,LAC vs. WAS,2018-10-28,True,False,1,0,0,0
0021800087,22018,POR,IND,Indiana Pacers,Portland Trail Blazers,1610612757,1610612754,93,103,1,POR @ IND,2018-10-29,True,False,2,0,0,0
0021800088,22018,ATL,PHI,Philadelphia 76ers,Atlanta Hawks,1610612737,1610612755,113,92,1,ATL @ PHI,2018-10-29,True,False,1,0,1,0
0021800089,22018,MIA,SAC,Miami Heat,Sacramento Kings,1610612748,1610612758,113,123,1,MIA vs. SAC,2018-10-29,True,True,2,2,1,0
0021800090,22018,NYK,BKN,New York Knicks,Brooklyn Nets,1610612752,1610612751,115,96,1,NYK vs. BKN,2018-10-29,False,False,0,0,1,1
0021800091,22018,CHI,GSW,Chicago Bulls,Golden State Warriors,1610612741,1610612744,124,149,0,CHI vs. GSW,2018-10-29,True,True,1,4,0,0
0021800092,22018,MIL,TOR,Milwaukee Bucks,Toronto Raptors,1610612749,1610612761,124,109,0,MIL vs. TOR,2018-10-29,True,True,6,6,0,0
0021800093,22018,MIN,LAL,Minnesota Timberwolves,Los Angeles Lakers,1610612750,1610612747,124,120,1,MIN vs. LAL,2018-10-29,False,False,0,0,1,0
0021800094,22018,SAS,DAL,San Antonio Spurs,Dallas Mavericks,1610612759,1610612742,113,108,1,SAS vs. DAL,2018-10-29,True,False,1,0,1,0
0021800095,22018,NOP,DEN,Denver Nuggets,New Orleans Pelicans,1610612740,1610612743,116,111,1,NOP @ DEN,2018-10-29,False,False,0,0,0,0
0021800096,22018,MIA,CHA,Charlotte Hornets,Miami Heat,1610612748,1610612766,125,113,0,MIA @ CHA,2018-10-30,False,False,0,0,0,0
0021800097,22018,CLE,ATL,Cleveland Cavaliers,Atlanta Hawks,1610612739,1610612737,136,114,1,CLE vs. ATL,2018-10-30,False,False,0,0,1,0
0021800098,22018,SAC,ORL,Orlando Magic,Sacramento Kings,1610612758,1610612753,99,107,0,SAC @ ORL,2018-10-30,False,True,0,3,0,0
0021800099,22018,BOS,DET,Boston Celtics,Detroit Pistons,1610612738,1610612765,108,105,1,BOS vs. DET,2018-10-30,True,False,2,0,1,0
0021800100,22018,PHI,TOR,Toronto Raptors,Philadelphia 76ers,1610612755,1610612761,129,112,1,PHI @ TOR,2018-10-30,False,True,0,2,1,0
0021800101,22018,HOU,POR,Houston Rockets,Portland Trail Blazers,1610612745,1610612757,85,104,1,HOU vs. POR,2018-10-30,False,True,0,1,1,0
0021800102,22018,MEM,WAS,Memphis Grizzlies,Washington Wizards,1610612763,1610612764,107,95,1,MEM vs. WAS,2018-10-30,True,False,1,0,0,0
